DateTime,Temperature (°C),Dew Point (°C),Humidity (%),Wind,Wind Speed (km/h),Wind Gust (km/h),Pressure (hPa),Precip. (mm),Condition
2018-04-01 00:51:00,5,3,86,S,26,0,1019.98,0,Partly Cloudy
2018-04-01 01:51:00,6,3,82,S,34,0,1018.96,0,Mostly Cloudy / Windy
2018-04-01 02:51:00,6,3,82,SSW,32,0,1017.95,0,Mostly Cloudy
2018-04-01 03:51:00,6,4,86,SSW,26,0,1016.93,0,Cloudy
2018-04-01 04:51:00,6,4,89,SSW,21,0,1016.26,0,Cloudy
2018-04-01 05:51:00,7,3,74,SSW,14,0,1015.92,0,Cloudy
2018-04-01 06:51:00,7,2,68,SSW,16,0,1015.24,0,Cloudy
2018-04-01 07:51:00,8,2,66,SW,16,0,1015.24,0,Cloudy
2018-04-01 08:51:00,9,2,63,SW,16,0,1014.9,0,Cloudy
2018-04-01 09:51:00,8,3,71,SSW,16,0,1014.9,0,Cloudy
2018-04-01 10:51:00,9,3,66,SSW,19,0,1014.9,0,Cloudy
2018-04-01 11:51:00,12,4,59,SW,23,0,1014.9,0,Cloudy
2018-04-01 12:51:00,13,4,55,SW,21,0,1014.56,0,Cloudy
2018-04-01 13:51:00,17,4,43,NW,23,0,1014.56,0,Mostly Cloudy
2018-04-01 13:57:00,16,4,44,NW,29,40,1014.56,0,Mostly Cloudy
2018-04-01 14:51:00,16,4,46,NW,24,0,1014.56,0,Mostly Cloudy
2018-04-01 15:51:00,14,4,53,WNW,24,0,1014.9,0,Mostly Cloudy
2018-04-01 16:51:00,13,3,51,NW,27,0,1015.24,0,Mostly Cloudy
2018-04-01 17:51:00,12,1,47,NNW,26,0,1015.24,0,Mostly Cloudy
2018-04-01 18:51:00,12,-1,41,NW,24,0,1015.92,0,Mostly Cloudy
2018-04-01 19:51:00,10,-5,35,N,26,0,1016.93,0,Mostly Cloudy
2018-04-01 20:51:00,8,-6,37,NNE,13,0,1017.95,0,Mostly Cloudy
2018-04-01 21:51:00,8,-8,32,N,13,0,1018.63,0,Mostly Cloudy
2018-04-01 22:51:00,7,-8,35,N,14,0,1018.63,0,Partly Cloudy
2018-04-01 23:51:00,6,-7,41,NE,11,0,1018.29,0,Partly Cloudy
2018-04-02 00:51:00,5,-6,45,NE,16,0,1018.29,0,Mostly Cloudy
2018-04-02 01:51:00,5,-7,43,NE,16,0,1018.63,0,Cloudy
2018-04-02 02:51:00,5,-6,45,NNE,21,0,1019.3,0,Cloudy
2018-04-02 03:51:00,4,-6,47,NE,26,0,1017.27,0,Cloudy
2018-04-02 04:51:00,2,-3,67,NNE,21,0,1019.3,0,Light Snow
2018-04-02 05:51:00,1,-1,89,NNE,13,0,1019.3,0,Light Snow
2018-04-02 06:17:00,0,-1,96,ENE,11,0,1018.96,0,Light Snow
2018-04-02 06:51:00,0,-1,96,ENE,14,0,1019.3,3,Light Snow
2018-04-02 07:02:00,0,0,100,ENE,11,0,1019.3,0,Light Snow
2018-04-02 07:51:00,0,0,100,NE,19,0,1019.3,3,Snow
2018-04-02 08:29:00,0,0,100,NNE,21,0,1019.64,3,Light Snow
2018-04-02 08:51:00,0,0,100,NNE,14,0,1020.32,3,Light Snow
