DateTime,Temperature (°C),Dew Point (°C),Humidity (%),Wind,Wind Speed (km/h),Wind Gust (km/h),Pressure (hPa),Precip. (mm),Condition
2011-07-31 23:51:00,26,21,76,WSW,10,0,1015.24,0,Cloudy
2011-08-01 00:51:00,26,19,66,NNW,10,0,1014.22,0,Cloudy
2011-08-01 01:37:00,26,19,65,NNW,19,0,1014.56,0,Cloudy
2011-08-01 01:51:00,24,19,74,NW,14,0,1013.89,0,Cloudy
2011-08-01 02:27:00,23,18,73,SSW,26,0,1013.89,0,Cloudy
2011-08-01 02:51:00,22,19,84,NW,5,0,1013.55,0,Cloudy
2011-08-01 03:51:00,23,19,79,NW,11,0,1013.55,0,Partly Cloudy
2011-08-01 04:51:00,23,19,76,W,13,0,1013.21,0,Fair
2011-08-01 05:51:00,23,18,73,W,13,0,1013.21,0,Partly Cloudy
2011-08-01 06:51:00,24,19,73,WNW,14,0,1012.87,0,Partly Cloudy
2011-08-01 07:51:00,26,19,64,NW,10,0,1012.87,0,Partly Cloudy
2011-08-01 08:51:00,28,19,58,VAR,10,0,1012.87,0,Partly Cloudy
2011-08-01 09:51:00,29,18,51,VAR,5,0,1012.53,0,Partly Cloudy
2011-08-01 10:51:00,29,19,55,SSW,11,0,1012.53,0,Partly Cloudy
2011-08-01 11:51:00,29,20,57,SSW,16,0,1012.53,0,Partly Cloudy
2011-08-01 12:51:00,30,19,53,SSW,23,0,1011.18,0,Mostly Cloudy
2011-08-01 13:51:00,29,20,57,S,24,0,1010.84,0,Mostly Cloudy
2011-08-01 14:51:00,30,21,59,S,24,0,1010.16,0,Partly Cloudy
2011-08-01 15:51:00,31,21,57,S,34,0,1008.47,0,Partly Cloudy / Windy
2011-08-01 16:10:00,28,22,70,S,35,47,1009.14,0,Mostly Cloudy / Windy
2011-08-01 16:47:00,29,20,58,ENE,23,40,1009.14,0,Mostly Cloudy
2011-08-01 16:51:00,29,18,53,ENE,14,34,1009.14,0,Mostly Cloudy
2011-08-01 17:51:00,28,21,63,S,16,0,1008.13,0,Mostly Cloudy
2011-08-01 18:51:00,30,19,51,SSW,23,0,1007.79,0,Mostly Cloudy
2011-08-01 19:51:00,28,21,63,N,23,34,1008.81,0,Mostly Cloudy
2011-08-01 20:41:00,27,19,61,SW,11,0,1008.47,0,Partly Cloudy
2011-08-01 20:51:00,27,19,64,WSW,5,0,1008.13,0,Partly Cloudy
2011-08-01 21:51:00,26,20,71,ENE,14,0,1009.14,0,Partly Cloudy
2011-08-01 22:51:00,25,19,69,ESE,11,0,1008.81,0,Partly Cloudy
2011-08-01 23:51:00,24,20,76,CALM,0,0,1008.13,0,Partly Cloudy
2011-08-02 00:51:00,24,21,79,WSW,5,0,1008.13,0,Partly Cloudy
2011-08-02 01:51:00,25,18,64,W,19,0,1007.45,0,Partly Cloudy
2011-08-02 02:51:00,24,18,69,W,21,0,1006.77,0,Partly Cloudy
2011-08-02 03:51:00,24,18,69,W,13,0,1006.77,0,Partly Cloudy
2011-08-02 04:51:00,24,18,71,WNW,14,0,1007.11,0,Partly Cloudy
2011-08-02 05:51:00,24,18,71,NW,14,0,1007.45,0,Mostly Cloudy
2011-08-02 06:51:00,25,17,62,NW,14,0,1007.11,0,Fair
2011-08-02 07:51:00,26,16,54,NW,16,0,1007.45,0,Fair
2011-08-02 08:51:00,27,16,49,NW,21,0,1007.79,0,Fair
2011-08-02 09:51:00,28,15,45,NNW,19,0,1008.13,0,Partly Cloudy
2011-08-02 10:51:00,29,14,40,NNW,24,0,1007.45,0,Fair
2011-08-02 11:51:00,31,12,32,NW,21,0,1007.11,0,Partly Cloudy
2011-08-02 12:51:00,32,12,29,N,23,32,1006.77,0,Partly Cloudy
2011-08-02 13:51:00,32,11,27,WNW,21,29,1006.44,0,Fair
2011-08-02 14:51:00,33,9,23,N,16,27,1005.42,0,Fair
2011-08-02 15:51:00,33,12,27,W,13,39,1005.08,0,Fair
2011-08-02 16:51:00,33,13,29,WNW,13,0,1004.74,0,Partly Cloudy
2011-08-02 17:51:00,32,11,27,NNW,24,35,1004.4,0,Fair
2011-08-02 18:51:00,32,11,27,WNW,32,47,1005.08,0,Partly Cloudy
2011-08-02 19:51:00,31,11,29,NW,19,0,1005.08,0,Partly Cloudy
2011-08-02 20:51:00,29,12,33,NW,19,0,1005.08,0,Mostly Cloudy
