DateTime,Temperature (°C),Dew Point (°C),Humidity (%),Wind,Wind Speed (km/h),Wind Gust (km/h),Pressure (hPa),Precip. (mm),Condition
2021-02-01 01:47:00,-3,-4,93,NE,27,0,1018.29,3,Light Snow
2021-02-01 01:51:00,-3,-4,89,NE,27,0,1018.29,3,Light Snow
2021-02-01 02:43:00,-2,-4,88,NE,32,0,1017.27,3,Light Snow
2021-02-01 02:51:00,-2,-4,88,NE,29,0,1017.27,3,Light Snow
2021-02-01 03:38:00,-2,-3,92,NE,26,0,1016.59,0,Light Snow
2021-02-01 03:51:00,-2,-3,89,NE,27,0,1016.26,0,Light Snow
2021-02-01 04:31:00,-1,-3,85,NE,32,0,1015.58,0,Light Snow
2021-02-01 04:51:00,-1,-3,85,NE,34,0,1015.24,0,Light Snow / Windy
2021-02-01 05:11:00,-2,-3,89,NE,35,0,1014.9,0,Light Snow / Windy
2021-02-01 05:51:00,-2,-3,89,NE,34,0,1014.56,0,Light Snow / Windy
2021-02-01 06:51:00,-2,-3,89,NE,32,47,1013.89,0,Light Snow
2021-02-01 07:51:00,-2,-3,89,NNE,29,0,1013.55,3,Light Snow
2021-02-01 08:51:00,-1,-3,88,NE,37,0,1013.21,3,Snow / Windy
2021-02-01 09:51:00,-1,-3,88,NNE,40,58,1012.53,3,Light Snow / Windy
2021-02-01 10:51:00,-2,-3,92,NNE,37,50,1011.18,0,Snow / Windy
2021-02-01 11:26:00,-2,-3,92,NNE,39,53,1010.84,0,Heavy Snow / Windy
2021-02-01 11:51:00,-2,-3,92,NNE,37,51,1010.16,3,Heavy Snow / Windy
2021-02-01 12:51:00,-2,-2,100,NE,40,58,1009.48,0,Light Snow / Windy
2021-02-01 13:35:00,-2,-3,92,NNE,48,69,1007.79,0,Snow / Windy
2021-02-01 13:51:00,-2,-3,92,NNE,48,61,1007.11,0,Snow / Windy
2021-02-01 14:14:00,-2,-3,92,NNE,50,63,1006.1,0,Snow and Sleet / Windy
2021-02-01 14:51:00,-1,-3,88,NNE,51,72,1005.08,0,Snow and Sleet / Windy
2021-02-01 15:51:00,-1,-3,88,NNE,53,77,1004.4,0,Light Snow / Windy
2021-02-01 16:51:00,-1,-2,89,NE,51,64,1004.06,0,Snow and Sleet / Windy
2021-02-01 17:51:00,-1,-2,89,NNE,51,74,1003.39,0,Snow and Sleet / Windy
2021-02-01 18:51:00,0,-2,88,NE,56,74,1003.05,0,Snow and Sleet / Windy
2021-02-01 19:51:00,0,-1,92,NNE,39,60,1003.05,0,Snow and Sleet / Windy
2021-02-01 20:51:00,1,-1,89,NNE,39,71,1002.71,0,Light Snow / Windy
2021-02-01 21:51:00,1,-1,89,NNE,48,60,1002.03,0,Wintry Mix / Windy
2021-02-01 22:51:00,1,-1,89,NNE,39,56,1001.02,0,Light Snow / Windy
2021-02-01 23:46:00,1,-1,87,NNE,39,53,1000.34,0,Light Snow / Windy
2021-02-01 23:51:00,1,-1,89,NNE,45,58,1000.34,0,Light Snow / Windy
2021-02-02 00:51:00,1,-1,89,NNE,40,56,999.32,0,Wintry Mix / Windy
2021-02-02 01:26:00,1,-1,89,NNE,39,0,998.99,0,Light Snow / Windy
2021-02-02 01:51:00,1,-1,85,NNE,39,50,998.65,0,Light Snow / Windy
2021-02-02 02:51:00,1,-1,89,NNE,40,51,998.31,0,Light Snow / Windy
2021-02-02 03:51:00,1,-1,89,N,32,51,997.97,0,Cloudy
2021-02-02 04:51:00,1,-1,89,N,34,48,997.63,0,Cloudy / Windy
2021-02-02 05:51:00,1,-1,89,N,32,45,997.29,0,Light Rain
2021-02-02 06:51:00,1,-1,89,N,32,47,996.95,0,Light Snow and Sleet
2021-02-02 07:28:00,1,-1,89,N,35,42,996.95,0,Light Snow / Windy
2021-02-02 07:51:00,1,-1,89,N,35,0,996.61,0,Wintry Mix / Windy
2021-02-02 08:30:00,0,-1,92,N,34,0,996.61,0,Wintry Mix / Windy
2021-02-02 08:47:00,0,-1,93,N,34,47,996.61,0,Light Snow / Windy
2021-02-02 08:51:00,0,-1,92,N,32,45,996.61,0,Light Snow
2021-02-02 09:51:00,-1,-2,89,N,32,45,996.61,0,Light Snow
2021-02-02 10:48:00,-1,-2,93,N,29,0,996.28,0,Light Freezing Drizzle
2021-02-02 10:51:00,-1,-2,92,N,27,0,996.28,0,Light Freezing Drizzle
2021-02-02 11:51:00,0,-2,88,N,26,42,996.28,0,Wintry Mix
2021-02-02 12:51:00,0,-2,88,NNW,24,0,995.6,0,Wintry Mix
2021-02-02 13:51:00,0,-2,88,NNW,29,0,994.92,0,Wintry Mix
2021-02-02 14:19:00,0,-2,88,NNW,26,0,994.58,0,Light Snow
2021-02-02 14:51:00,0,-2,88,NNW,29,0,994.58,0,Light Snow
2021-02-02 15:51:00,0,-2,88,NNW,32,40,994.58,0,Light Snow
2021-02-02 16:45:00,0,-2,87,NNW,34,0,994.58,0,Light Snow / Windy
2021-02-02 16:51:00,0,-2,85,NNW,29,0,994.58,0,Light Snow
2021-02-02 17:51:00,0,-2,85,NNW,37,48,994.92,0,Light Snow / Windy
2021-02-02 18:51:00,0,-2,88,NNW,32,0,995.6,0,Light Snow
2021-02-02 19:51:00,-1,-2,92,NNW,29,45,995.6,0,Light Snow
2021-02-02 20:51:00,-1,-3,85,NNW,32,45,995.6,0,Light Snow
2021-02-02 21:48:00,0,-4,75,N,35,47,995.6,0,Cloudy / Windy
2021-02-02 21:51:00,0,-4,75,N,32,45,995.6,0,Cloudy
2021-02-02 22:51:00,0,-4,75,NNW,29,0,995.6,0,Cloudy
2021-02-02 23:51:00,0,-4,73,NNW,32,45,995.6,0,Cloudy
2021-02-03 00:51:00,0,-5,69,N,32,42,995.94,0,Cloudy
2021-02-03 01:51:00,-1,-6,69,NNW,26,0,996.28,0,Light Snow
2021-02-03 02:51:00,-1,-5,75,NNW,27,0,996.61,0,Light Snow
2021-02-03 03:51:00,-1,-4,79,NW,24,0,996.28,0,Light Snow
2021-02-03 04:51:00,-2,-4,82,NW,24,0,996.61,0,Light Snow
2021-02-03 05:51:00,-1,-5,75,NW,23,0,996.95,0,Cloudy
2021-02-03 06:51:00,-1,-5,75,NW,23,37,997.29,0,Light Snow
2021-02-03 07:51:00,-1,-5,75,NW,23,0,997.97,0,Light Snow
2021-02-03 08:51:00,-1,-5,75,NW,21,0,998.31,0,Mostly Cloudy
2021-02-03 09:51:00,0,-5,69,NW,21,0,998.65,0,Mostly Cloudy
2021-02-03 10:51:00,1,-5,66,NW,19,0,998.99,0,Mostly Cloudy
2021-02-03 11:51:00,1,-5,64,NW,23,0,998.99,0,Mostly Cloudy
