DateTime,Temperature (°C),Dew Point (°C),Humidity (%),Wind,Wind Speed (km/h),Wind Gust (km/h),Pressure (hPa),Precip. (mm),Condition
2010-01-01 00:51:00,1,-1,92,CALM,0,0,1015.58,0,Cloudy
2010-01-01 01:51:00,1,-1,92,CALM,0,0,1015.24,0,Mostly Cloudy
2010-01-01 02:51:00,1,0,96,CALM,0,0,1014.9,0,Cloudy
2010-01-01 03:03:00,1,0,93,CALM,0,0,1015.24,0,Cloudy
2010-01-01 03:28:00,1,0,93,CALM,0,0,1015.24,0,Cloudy
2010-01-01 03:51:00,1,0,96,CALM,0,0,1014.9,0,Cloudy
2010-01-01 04:51:00,1,0,96,CALM,0,0,1014.22,0,Cloudy
2010-01-01 05:51:00,1,-1,92,CALM,0,0,1013.89,0,Cloudy
2010-01-01 06:51:00,1,-1,92,CALM,0,0,1014.22,0,Cloudy
2010-01-01 07:51:00,1,0,96,CALM,0,0,1013.89,0,Cloudy
2010-01-01 08:19:00,1,0,93,SW,5,0,1013.89,0,Cloudy
2010-01-01 08:51:00,1,0,96,W,5,0,1013.55,0,Cloudy
2010-01-01 09:38:00,1,0,93,W,8,0,1013.55,0,Cloudy
2010-01-01 09:51:00,1,0,92,WSW,5,0,1013.21,0,Mostly Cloudy
2010-01-01 10:51:00,2,0,89,WSW,10,0,1012.87,0,Cloudy
2010-01-01 11:51:00,2,1,89,W,8,0,1012.19,0,Cloudy
2010-01-01 12:51:00,3,1,86,WSW,8,0,1011.18,0,Mostly Cloudy
2010-01-01 13:51:00,4,1,82,SW,10,0,1010.16,0,Mostly Cloudy
2010-01-01 14:51:00,4,0,76,N,14,0,1010.16,0,Mostly Cloudy
2010-01-01 15:51:00,5,0,70,N,11,0,1009.82,0,Mostly Cloudy
2010-01-01 16:51:00,3,0,79,N,11,0,1009.48,0,Mostly Cloudy
2010-01-01 17:51:00,4,0,76,N,10,0,1009.48,0,Mostly Cloudy
2010-01-01 18:51:00,3,0,79,NNW,10,0,1009.14,0,Mostly Cloudy
2010-01-01 19:51:00,4,-1,70,NNW,14,0,1008.81,0,Mostly Cloudy
2010-01-01 20:51:00,4,-1,70,NW,14,0,1008.13,0,Cloudy
2010-01-01 21:51:00,4,-1,70,NW,23,0,1007.45,0,Cloudy
2010-01-01 22:51:00,3,-2,70,NW,14,0,1006.77,0,Cloudy
2010-01-01 23:51:00,3,-2,73,NW,21,0,1006.1,0,Cloudy
2010-01-02 00:28:00,2,-1,81,NW,21,0,1006.44,0,Cloudy
2010-01-02 00:45:00,1,-1,87,NW,21,0,1006.1,0,Cloudy
2010-01-02 00:51:00,1,-1,85,NW,23,0,1005.76,0,Cloudy
2010-01-02 01:51:00,1,-3,78,NW,27,0,1005.42,0,Cloudy
2010-01-02 02:51:00,0,-5,69,NW,34,42,1005.42,0,Cloudy / Windy
2010-01-02 03:51:00,-1,-5,72,NW,34,42,1005.42,0,Cloudy / Windy
2010-01-02 04:51:00,-1,-6,72,NW,37,0,1005.08,0,Cloudy / Windy
2010-01-02 05:51:00,-2,-6,75,NW,32,0,1004.74,0,Cloudy
2010-01-02 06:51:00,-2,-5,81,NW,29,37,1004.4,0,Cloudy
2010-01-02 07:51:00,-2,-6,75,NW,29,42,1004.06,0,Cloudy
2010-01-02 08:51:00,-2,-7,67,NW,29,47,1004.06,0,Mostly Cloudy
2010-01-02 09:51:00,-2,-8,61,NW,37,50,1004.06,0,Mostly Cloudy / Windy
2010-01-02 10:51:00,-2,-9,58,NW,39,51,1004.06,0,Mostly Cloudy / Windy
2010-01-02 11:51:00,-2,-11,53,NNW,40,58,1003.73,0,Cloudy / Windy
