DateTime,Temperature (°C),Dew Point (°C),Humidity (%),Wind,Wind Speed (km/h),Wind Gust (km/h),Pressure (hPa),Precip. (mm),Condition
2016-07-01 00:51:00,22,18,78,S,14,0,1016.93,0,Fair
2016-07-01 01:51:00,22,18,78,S,14,0,1016.59,0,Fair
2016-07-01 02:51:00,22,19,84,S,11,0,1016.26,0,Partly Cloudy
2016-07-01 03:51:00,21,19,90,S,5,0,1016.26,0,Partly Cloudy
2016-07-01 04:51:00,21,19,90,SSE,10,0,1016.26,0,Partly Cloudy
2016-07-01 05:51:00,21,19,87,SSE,8,0,1016.59,0,Partly Cloudy
2016-07-01 06:51:00,22,19,84,S,11,0,1016.59,0,Mostly Cloudy
2016-07-01 07:51:00,23,20,82,S,16,0,1016.26,0,Mostly Cloudy
2016-07-01 08:51:00,24,22,87,SSE,13,0,1016.26,0,Mostly Cloudy
2016-07-01 09:51:00,24,21,82,SSE,14,0,1015.92,0,Mostly Cloudy
2016-07-01 10:51:00,25,21,79,SSE,16,0,1015.24,0,Mostly Cloudy
2016-07-01 11:19:00,25,23,88,SE,14,0,1015.58,0,Mostly Cloudy
2016-07-01 11:51:00,25,21,79,SSE,19,0,1015.24,0,Mostly Cloudy
2016-07-01 12:39:00,26,20,69,ESE,19,0,1014.56,0,Cloudy
2016-07-01 12:51:00,26,21,76,SE,24,0,1014.56,0,Cloudy
2016-07-01 13:25:00,27,22,74,SSE,26,0,1014.56,0,Cloudy
2016-07-01 13:51:00,27,23,79,SE,26,0,1014.22,0,Mostly Cloudy
2016-07-01 14:32:00,26,21,76,SE,21,0,1013.55,0,Mostly Cloudy
2016-07-01 14:51:00,25,23,88,SE,19,0,1012.87,0,Cloudy
2016-07-01 15:51:00,24,21,84,SSE,26,0,1012.19,0,Cloudy
2016-07-01 16:18:00,24,22,87,SSE,26,0,1011.51,0,Light Rain
2016-07-01 16:42:00,23,22,91,SSE,26,45,1011.51,0,Fog
2016-07-01 16:51:00,23,22,91,S,32,40,1011.51,0,Fog
2016-07-01 17:05:00,24,21,82,S,37,53,1011.18,0,Light Rain / Windy
2016-07-01 17:51:00,22,20,87,S,27,0,1011.85,0,Light Rain
2016-07-01 18:20:00,22,19,87,WSW,24,42,1011.85,5,Heavy Rain
2016-07-01 18:35:00,22,20,87,SW,14,0,1011.85,10,Light Rain
2016-07-01 18:51:00,23,20,84,S,14,0,1011.85,10,Light Rain
2016-07-01 19:30:00,23,21,85,S,8,0,1011.85,0,Light Rain
2016-07-01 19:37:00,23,21,87,SSE,13,0,1011.85,0,Mostly Cloudy
2016-07-01 19:51:00,23,22,91,S,13,0,1011.18,0,Light Rain
2016-07-01 20:10:00,22,19,81,VAR,5,0,1011.18,0,Light Rain
2016-07-01 20:51:00,23,20,84,NE,10,0,1011.18,0,Mostly Cloudy
2016-07-01 21:13:00,23,21,87,VAR,5,0,1011.18,0,Light Rain
2016-07-01 21:37:00,22,19,84,ESE,11,0,1011.51,0,Mostly Cloudy
2016-07-01 21:51:00,22,20,87,SE,10,0,1011.51,0,Mostly Cloudy
2016-07-01 22:26:00,23,22,91,NNW,21,0,1012.19,0,Thunder
2016-07-01 22:51:00,23,20,84,ENE,8,0,1011.51,0,Mostly Cloudy
2016-07-01 23:51:00,22,20,87,ESE,8,0,1011.18,0,Partly Cloudy
2016-07-02 00:51:00,22,19,87,S,11,0,1010.84,0,Partly Cloudy
2016-07-02 01:51:00,22,19,84,SSW,13,0,1011.18,0,Partly Cloudy
2016-07-02 02:51:00,23,20,84,NW,8,0,1011.18,0,Partly Cloudy
2016-07-02 03:51:00,22,17,73,NW,19,0,1011.18,0,Fair
2016-07-02 04:51:00,21,17,76,NNW,26,0,1011.85,0,Fair
2016-07-02 05:51:00,21,16,73,NW,16,0,1012.87,0,Fair
2016-07-02 06:51:00,21,14,65,NW,23,0,1013.89,0,Fair
2016-07-02 07:51:00,22,12,55,NW,34,50,1014.56,0,Fair / Windy
2016-07-02 08:51:00,23,12,51,NW,29,0,1014.56,0,Partly Cloudy
2016-07-02 09:51:00,23,11,46,WNW,26,0,1014.9,0,Partly Cloudy
2016-07-02 10:51:00,24,9,37,WNW,27,0,1014.9,0,Partly Cloudy
2016-07-02 11:51:00,26,9,36,NW,29,42,1014.9,0,Mostly Cloudy
2016-07-02 12:51:00,26,9,35,NW,24,39,1015.24,0,Mostly Cloudy
2016-07-02 13:51:00,26,8,32,NW,23,45,1015.24,0,Mostly Cloudy
2016-07-02 14:51:00,27,8,31,WNW,23,37,1015.24,0,Mostly Cloudy
2016-07-02 15:51:00,27,8,30,NW,32,39,1015.24,0,Mostly Cloudy
2016-07-02 16:51:00,26,7,29,WNW,24,39,1015.58,0,Cloudy
2016-07-02 17:51:00,26,6,28,WNW,24,0,1015.58,0,Mostly Cloudy
2016-07-02 18:51:00,26,7,29,WNW,27,39,1016.26,0,Partly Cloudy
2016-07-02 19:51:00,26,7,30,W,19,0,1016.59,0,Cloudy
2016-07-02 20:51:00,24,8,36,W,26,0,1016.93,0,Mostly Cloudy
2016-07-02 21:51:00,24,9,40,W,19,0,1017.95,0,Mostly Cloudy
2016-07-02 22:51:00,23,10,43,WSW,24,0,1017.95,0,Mostly Cloudy
2016-07-02 23:51:00,23,10,43,WSW,19,0,1017.95,0,Mostly Cloudy
2016-07-03 00:51:00,23,9,41,W,16,0,1017.95,0,Mostly Cloudy
2016-07-03 01:51:00,22,9,44,W,11,0,1017.95,0,Mostly Cloudy
2016-07-03 02:51:00,21,10,49,W,10,0,1017.95,0,Mostly Cloudy
2016-07-03 03:51:00,19,12,61,SW,11,0,1018.29,0,Mostly Cloudy
2016-07-03 04:51:00,21,11,54,W,8,0,1018.29,0,Mostly Cloudy
2016-07-03 05:51:00,21,11,54,W,8,0,1018.96,0,Mostly Cloudy
2016-07-03 06:51:00,23,11,48,W,8,0,1018.96,0,Mostly Cloudy
2016-07-03 07:51:00,24,11,43,NNW,11,0,1019.64,0,Mostly Cloudy
2016-07-03 08:51:00,24,10,40,NNW,10,0,1019.64,0,Mostly Cloudy
2016-07-03 09:51:00,26,9,36,N,8,0,1019.64,0,Mostly Cloudy
2016-07-03 10:51:00,26,8,33,N,5,0,1019.3,0,Mostly Cloudy
2016-07-03 11:51:00,27,8,31,CALM,0,0,1019.3,0,Mostly Cloudy
2016-07-03 12:51:00,27,11,36,SW,14,0,1019.3,0,Mostly Cloudy
2016-07-03 13:51:00,26,9,35,S,27,0,1018.96,0,Mostly Cloudy
2016-07-03 14:51:00,26,12,43,S,23,0,1018.96,0,Mostly Cloudy
2016-07-03 15:51:00,26,10,36,SSW,26,0,1018.29,0,Mostly Cloudy
2016-07-03 16:51:00,25,14,52,S,21,0,1017.95,0,Mostly Cloudy
2016-07-03 17:51:00,25,14,52,SSW,27,0,1017.61,0,Mostly Cloudy
2016-07-03 18:51:00,24,14,54,SSW,21,0,1017.95,0,Mostly Cloudy
2016-07-03 19:51:00,24,14,52,SW,27,0,1017.95,0,Cloudy
2016-07-03 20:51:00,24,15,57,SW,23,0,1017.95,0,Mostly Cloudy
2016-07-03 21:51:00,23,15,59,SW,21,0,1018.29,0,Cloudy
2016-07-03 22:51:00,23,15,61,SW,16,0,1018.29,0,Cloudy
2016-07-03 23:51:00,23,16,66,WSW,23,0,1018.63,0,Cloudy
2016-07-04 00:51:00,22,18,78,WSW,19,0,1018.29,0,Cloudy
2016-07-04 01:51:00,21,17,78,WSW,13,0,1018.29,0,Cloudy
2016-07-04 02:51:00,21,16,73,WSW,14,0,1018.29,0,Cloudy
2016-07-04 03:51:00,21,16,73,WSW,13,0,1017.95,0,Cloudy
2016-07-04 04:51:00,19,15,76,WSW,10,0,1017.95,0,Cloudy
2016-07-04 05:51:00,19,16,84,SW,11,0,1018.29,0,Mostly Cloudy
2016-07-04 06:51:00,21,16,73,WSW,13,0,1018.96,0,Partly Cloudy
2016-07-04 07:51:00,22,16,68,WSW,10,0,1018.96,0,Fair
2016-07-04 08:51:00,23,16,64,S,10,0,1018.96,0,Fair
2016-07-04 09:51:00,25,16,56,SW,8,0,1018.96,0,Fair
2016-07-04 10:51:00,26,16,52,SSW,16,0,1018.96,0,Fair
2016-07-04 11:51:00,27,13,42,S,19,0,1018.63,0,Fair
2016-07-04 12:51:00,28,11,35,S,19,0,1018.29,0,Fair
2016-07-04 13:51:00,28,13,39,S,23,0,1017.61,0,Partly Cloudy
2016-07-04 14:51:00,28,13,41,S,27,0,1017.27,0,Mostly Cloudy
2016-07-04 15:51:00,26,14,48,S,26,0,1016.93,0,Cloudy
2016-07-04 16:51:00,26,18,64,S,32,0,1016.26,0,Mostly Cloudy
2016-07-04 17:51:00,24,19,76,S,35,48,1015.58,0,Cloudy / Windy
2016-07-04 18:51:00,23,19,76,S,35,45,1014.9,0,Cloudy / Windy
2016-07-04 19:51:00,23,18,76,S,32,0,1014.9,0,Cloudy
2016-07-04 20:51:00,22,19,81,S,27,0,1015.24,0,Cloudy
