DateTime,Temperature (°C),Dew Point (°C),Humidity (%),Wind,Wind Speed (km/h),Wind Gust (km/h),Pressure (hPa),Precip. (mm),Condition
2012-05-31 23:51:00,21,10,49,N,11,0,1012.87,0,Fair
2012-06-01 00:51:00,19,11,57,NNE,8,0,1013.55,0,Fair
2012-06-01 01:51:00,19,11,59,N,8,0,1014.22,0,Fair
2012-06-01 02:51:00,18,9,58,NNE,11,0,1014.22,0,Fair
2012-06-01 03:51:00,17,9,58,NNE,13,0,1014.56,0,Fair
2012-06-01 04:51:00,17,9,62,NNE,10,0,1014.56,0,Fair
2012-06-01 05:51:00,17,9,62,NE,14,0,1014.9,0,Partly Cloudy
2012-06-01 06:51:00,18,11,63,NE,19,0,1014.9,0,Partly Cloudy
2012-06-01 07:51:00,19,11,59,ENE,19,0,1015.58,0,Partly Cloudy
2012-06-01 08:51:00,21,12,55,E,21,0,1015.58,0,Partly Cloudy
2012-06-01 09:51:00,22,13,57,ESE,23,35,1015.24,0,Partly Cloudy
2012-06-01 10:51:00,22,14,63,ESE,26,0,1015.92,0,Partly Cloudy
2012-06-01 11:51:00,21,16,71,E,34,45,1015.92,0,Mostly Cloudy / Windy
2012-06-01 12:51:00,21,15,70,ESE,35,47,1015.58,0,Mostly Cloudy / Windy
2012-06-01 13:51:00,19,15,78,E,37,48,1015.24,0,Mostly Cloudy / Windy
2012-06-01 14:51:00,18,14,80,E,39,48,1014.56,0,Mostly Cloudy / Windy
2012-06-01 15:51:00,18,14,80,ESE,27,40,1013.89,0,Mostly Cloudy
2012-06-01 16:39:00,18,14,77,E,34,47,1013.55,0,Mostly Cloudy / Windy
2012-06-01 16:51:00,18,14,80,E,27,45,1013.21,0,Mostly Cloudy
2012-06-01 17:51:00,17,14,84,E,34,48,1012.87,0,Mostly Cloudy / Windy
2012-06-01 18:51:00,17,14,86,E,32,45,1012.53,0,Cloudy
2012-06-01 19:51:00,17,14,86,E,37,47,1012.19,0,Cloudy / Windy
2012-06-01 20:51:00,17,16,93,ESE,32,50,1012.19,0,Cloudy
2012-06-01 21:18:00,17,16,94,E,39,51,1012.19,0,Cloudy / Windy
2012-06-01 21:51:00,17,16,93,E,32,50,1011.18,0,Cloudy
2012-06-01 22:51:00,17,16,93,E,40,48,1010.16,0,Cloudy / Windy
2012-06-01 23:51:00,18,17,96,E,39,56,1008.47,0,Cloudy / Windy
2012-06-02 00:33:00,18,17,94,ESE,34,51,1008.13,0,Cloudy / Windy
2012-06-02 00:51:00,18,17,96,ESE,32,50,1007.79,10,Cloudy
2012-06-02 01:51:00,18,18,97,ESE,26,45,1006.77,8,Cloudy
2012-06-02 02:12:00,18,18,100,ESE,24,0,1006.44,3,Cloudy
2012-06-02 02:43:00,19,18,94,E,21,35,1005.42,15,Cloudy
2012-06-02 02:51:00,19,18,96,E,16,0,1005.08,15,Cloudy
2012-06-02 03:51:00,19,18,96,ESE,13,0,1004.06,0,Cloudy
2012-06-02 04:08:00,19,19,100,SSE,16,0,1004.06,0,Cloudy
2012-06-02 04:51:00,19,19,97,S,24,0,1003.73,0,Cloudy
2012-06-02 05:33:00,19,19,100,SSE,14,0,1004.06,0,Cloudy
2012-06-02 05:51:00,19,18,96,SSE,16,0,1004.06,0,Cloudy
2012-06-02 06:51:00,19,18,93,S,24,0,1004.74,0,Cloudy
