DateTime,Temperature (°C),Dew Point (°C),Humidity (%),Wind,Wind Speed (km/h),Wind Gust (km/h),Pressure (hPa),Precip. (mm),Condition
2011-04-30 23:51:00,11,6,69,WSW,8,0,1022.69,0,Fair
2011-05-01 00:51:00,11,5,66,W,13,0,1023.37,0,Fair
2011-05-01 01:51:00,11,6,69,W,13,0,1023.71,0,Fair
2011-05-01 02:51:00,11,4,66,W,11,0,1024.04,0,Fair
2011-05-01 03:51:00,11,3,59,NNW,5,0,1024.38,0,Fair
2011-05-01 04:51:00,11,3,59,NW,5,0,1024.38,0,Partly Cloudy
2011-05-01 05:51:00,11,3,61,N,8,0,1024.38,0,Fair
2011-05-01 06:51:00,11,3,61,CALM,0,0,1025.06,0,Partly Cloudy
2011-05-01 07:51:00,13,3,49,NE,10,0,1025.06,0,Fair
2011-05-01 08:51:00,16,2,41,NE,13,0,1025.74,0,Partly Cloudy
2011-05-01 09:51:00,17,3,39,VAR,8,0,1025.4,0,Partly Cloudy
2011-05-01 10:51:00,17,2,37,SE,14,0,1025.4,0,Partly Cloudy
2011-05-01 11:51:00,17,2,35,SSE,23,0,1025.4,0,Partly Cloudy
2011-05-01 12:51:00,16,3,42,SSE,23,0,1025.74,0,Mostly Cloudy
2011-05-01 13:51:00,16,4,46,SSE,23,0,1026.08,0,Mostly Cloudy
2011-05-01 14:51:00,15,5,51,SSE,23,0,1025.74,0,Mostly Cloudy
2011-05-01 15:51:00,14,5,55,SSE,21,0,1025.4,0,Mostly Cloudy
2011-05-01 16:51:00,13,6,60,SSE,19,0,1025.4,0,Mostly Cloudy
2011-05-01 17:51:00,12,5,62,SSE,21,0,1025.06,0,Mostly Cloudy
2011-05-01 18:51:00,12,6,69,SE,21,0,1024.72,0,Mostly Cloudy
2011-05-01 19:51:00,11,6,69,SSE,21,0,1024.72,0,Mostly Cloudy
2011-05-01 20:51:00,11,5,68,SSE,16,0,1025.4,0,Mostly Cloudy
2011-05-01 21:51:00,10,5,71,SSE,14,0,1026.08,0,Mostly Cloudy
2011-05-01 22:51:00,11,6,71,SE,16,0,1025.74,0,Mostly Cloudy
2011-05-01 23:51:00,10,6,77,SSE,11,0,1026.41,0,Partly Cloudy
2011-05-02 00:51:00,9,6,77,SSE,11,0,1026.41,0,Mostly Cloudy
2011-05-02 01:51:00,9,5,74,SE,13,0,1025.4,0,Partly Cloudy
2011-05-02 02:51:00,10,6,74,SE,10,0,1024.72,0,Mostly Cloudy
2011-05-02 03:51:00,9,6,77,SE,11,0,1024.72,0,Cloudy
2011-05-02 04:51:00,10,6,74,SE,10,0,1025.06,0,Cloudy
2011-05-02 05:51:00,11,6,74,SE,10,0,1025.4,0,Cloudy
2011-05-02 06:51:00,11,7,77,SE,11,0,1026.08,0,Cloudy
2011-05-02 07:51:00,11,7,74,SE,11,0,1025.74,0,Cloudy
2011-05-02 08:51:00,12,7,74,SSE,11,0,1025.74,0,Cloudy
2011-05-02 09:51:00,13,8,74,SE,14,0,1025.06,0,Mostly Cloudy
2011-05-02 10:51:00,13,8,69,SSE,10,0,1025.4,0,Cloudy
2011-05-02 11:51:00,13,8,72,SSE,14,0,1024.72,0,Cloudy
2011-05-02 12:51:00,13,8,69,SSE,14,0,1024.38,0,Cloudy
2011-05-02 13:51:00,14,7,64,S,14,0,1023.03,0,Cloudy
2011-05-02 14:51:00,14,7,64,SSE,23,0,1021.67,0,Cloudy
2011-05-02 15:51:00,14,7,62,S,21,0,1021.34,0,Cloudy
2011-05-02 16:51:00,14,7,62,S,24,0,1021.34,0,Mostly Cloudy
2011-05-02 17:51:00,14,7,62,S,29,0,1021.34,0,Mostly Cloudy
2011-05-02 18:51:00,13,8,72,SSE,16,0,1020.66,0,Mostly Cloudy
2011-05-02 19:51:00,13,8,74,VAR,8,0,1021.0,0,Mostly Cloudy
2011-05-02 20:51:00,13,9,80,SSE,10,0,1021.0,0,Cloudy
2011-05-02 21:51:00,13,9,80,SSE,5,0,1021.34,0,Cloudy
2011-05-02 22:51:00,13,10,83,E,5,0,1021.34,0,Cloudy
2011-05-02 23:51:00,12,10,86,E,8,0,1020.32,0,Cloudy
2011-05-03 00:51:00,12,10,86,E,5,0,1019.98,0,Cloudy
2011-05-03 01:51:00,12,10,89,E,5,0,1019.98,0,Cloudy
2011-05-03 02:51:00,12,10,89,E,10,0,1019.64,0,Mostly Cloudy
2011-05-03 03:51:00,12,11,90,CALM,0,0,1019.98,0,Mostly Cloudy
2011-05-03 04:51:00,12,10,86,ENE,8,0,1019.64,0,Cloudy
2011-05-03 05:51:00,12,10,86,ENE,8,0,1019.98,0,Cloudy
2011-05-03 06:51:00,13,11,84,ENE,8,0,1020.66,0,Mostly Cloudy
2011-05-03 07:51:00,15,11,75,E,10,0,1019.98,0,Mostly Cloudy
2011-05-03 08:51:00,16,12,75,ESE,13,0,1019.64,0,Mostly Cloudy
2011-05-03 09:51:00,16,11,72,SE,24,0,1019.3,0,Mostly Cloudy
2011-05-03 10:51:00,17,12,72,ESE,16,0,1019.3,0,Mostly Cloudy
2011-05-03 11:51:00,17,12,75,SE,13,0,1019.3,0,Mostly Cloudy
2011-05-03 12:51:00,18,13,73,ESE,13,0,1018.29,0,Mostly Cloudy
2011-05-03 13:51:00,18,13,73,ESE,19,0,1017.61,0,Mostly Cloudy
2011-05-03 14:51:00,18,13,72,SE,26,0,1016.59,0,Mostly Cloudy
2011-05-03 15:51:00,17,13,75,SE,27,39,1015.92,0,Mostly Cloudy
2011-05-03 16:51:00,17,13,78,SE,26,0,1015.24,0,Cloudy
2011-05-03 17:51:00,17,13,78,SSE,26,35,1014.56,0,Mostly Cloudy
2011-05-03 18:51:00,16,12,80,S,26,0,1013.89,0,Mostly Cloudy
2011-05-03 19:51:00,15,12,83,S,39,50,1013.89,0,Mostly Cloudy / Windy
2011-05-03 20:51:00,15,12,83,S,37,50,1014.22,0,Mostly Cloudy / Windy
2011-05-03 21:51:00,15,12,83,S,35,51,1014.9,0,Mostly Cloudy / Windy
2011-05-03 22:51:00,15,13,87,S,39,50,1014.9,0,Cloudy / Windy
2011-05-03 23:51:00,15,13,87,S,34,47,1014.56,0,Cloudy / Windy
2011-05-04 00:16:00,14,13,94,SW,24,47,1014.9,0,Cloudy
2011-05-04 00:40:00,14,12,88,S,21,0,1014.9,0,Mostly Cloudy
2011-05-04 00:51:00,14,12,89,S,13,0,1014.22,0,Mostly Cloudy
2011-05-04 01:51:00,14,12,89,S,10,0,1013.89,0,Cloudy
2011-05-04 02:51:00,14,12,89,ESE,5,0,1012.87,0,Cloudy
2011-05-04 03:51:00,14,12,89,S,10,0,1012.87,0,Partly Cloudy
2011-05-04 04:51:00,13,12,93,SW,8,0,1012.87,0,Mostly Cloudy
2011-05-04 05:51:00,14,12,89,CALM,0,0,1012.53,0,Cloudy
2011-05-04 06:51:00,15,13,90,WSW,8,0,1012.87,0,Cloudy
2011-05-04 07:51:00,18,12,70,WNW,24,0,1012.87,0,Cloudy
2011-05-04 08:21:00,17,13,77,WNW,32,40,1013.89,0,Cloudy
2011-05-04 08:32:00,14,12,88,NNW,35,0,1013.55,3,Cloudy / Windy
2011-05-04 08:51:00,13,12,90,NNW,24,0,1012.87,3,Cloudy
2011-05-04 09:11:00,13,11,88,NW,24,0,1014.22,0,Cloudy
2011-05-04 09:23:00,13,11,88,NNW,24,0,1013.89,3,Cloudy
2011-05-04 09:40:00,13,11,88,N,19,0,1013.55,3,Cloudy
2011-05-04 09:51:00,12,11,93,N,19,0,1013.55,3,Cloudy
2011-05-04 10:51:00,12,11,93,NNW,23,0,1013.55,5,Cloudy
2011-05-04 11:24:00,12,10,88,NW,26,0,1014.22,0,Cloudy
2011-05-04 11:41:00,12,10,88,NNW,19,0,1013.89,0,Cloudy
2011-05-04 11:51:00,12,10,89,NNW,13,0,1013.89,0,Cloudy
2011-05-04 12:05:00,12,10,88,NW,23,0,1014.22,0,Cloudy
2011-05-04 12:51:00,11,9,89,NW,16,0,1013.89,0,Cloudy
2011-05-04 13:51:00,11,9,86,NW,16,0,1014.22,3,Cloudy
2011-05-04 14:51:00,11,9,86,NNW,19,0,1013.89,0,Cloudy
2011-05-04 15:23:00,11,9,88,NNW,21,0,1013.21,0,Cloudy
2011-05-04 15:51:00,10,8,89,NW,19,0,1013.21,0,Cloudy
2011-05-04 16:33:00,10,7,82,NNW,23,0,1013.89,0,Cloudy
2011-05-04 16:51:00,10,7,83,NW,23,0,1013.89,0,Cloudy
2011-05-04 17:51:00,9,7,86,NW,29,37,1014.22,0,Cloudy
2011-05-04 18:46:00,10,6,76,NW,23,0,1015.24,0,Cloudy
2011-05-04 18:51:00,10,6,74,NW,23,0,1014.9,0,Cloudy
2011-05-04 19:51:00,11,5,68,NW,26,0,1015.58,0,Cloudy
2011-05-04 20:51:00,11,4,63,NW,29,51,1016.26,0,Cloudy
2011-05-04 21:51:00,11,4,63,NW,26,0,1016.26,0,Cloudy
2011-05-04 22:51:00,11,3,59,NW,27,40,1016.26,0,Cloudy
2011-05-04 23:51:00,10,3,61,NW,26,0,1015.92,0,Cloudy
