DateTime,Temperature (°C),Dew Point (°C),Humidity (%),Wind,Wind Speed (km/h),Wind Gust (km/h),Pressure (hPa),Precip. (mm),Condition
2015-11-01 00:51:00,13,4,57,SSW,14,0,1017.61,0,Cloudy
2015-11-01 01:51:00,12,5,62,SW,14,0,1017.95,0,Cloudy
2015-11-01 02:51:00,13,6,62,SSW,11,0,1016.93,0,Cloudy
2015-11-01 03:51:00,13,7,69,SW,16,0,1016.93,0,Cloudy
2015-11-01 04:51:00,13,8,72,SSW,23,0,1016.26,0,Cloudy
2015-11-01 05:51:00,13,8,72,SSW,26,0,1015.24,0,Cloudy
2015-11-01 06:51:00,14,8,69,SSW,26,0,1014.56,0,Cloudy
2015-11-01 07:51:00,14,8,69,SSW,23,0,1014.9,0,Cloudy
2015-11-01 08:51:00,15,9,67,SSW,27,37,1014.22,0,Cloudy
2015-11-01 09:51:00,16,9,67,SW,23,0,1014.56,0,Cloudy
2015-11-01 10:51:00,16,9,67,SW,19,0,1013.55,0,Cloudy
2015-11-01 11:51:00,17,10,65,SW,23,0,1013.21,0,Cloudy
2015-11-01 12:51:00,17,10,65,WSW,14,0,1012.53,0,Cloudy
2015-11-01 13:51:00,17,10,63,WSW,21,0,1012.19,0,Cloudy
2015-11-01 14:51:00,17,11,67,WSW,16,0,1011.18,0,Mostly Cloudy
2015-11-01 15:51:00,17,11,67,SW,21,0,1011.51,0,Cloudy
2015-11-01 16:51:00,17,12,70,WSW,23,0,1011.85,0,Mostly Cloudy
2015-11-01 17:51:00,16,12,75,WSW,21,0,1012.19,0,Mostly Cloudy
2015-11-01 18:51:00,16,12,78,SW,19,0,1012.87,0,Mostly Cloudy
2015-11-01 19:51:00,16,12,78,SW,21,0,1013.55,0,Mostly Cloudy
2015-11-01 20:51:00,15,12,81,SW,14,0,1014.22,0,Mostly Cloudy
2015-11-01 21:51:00,15,12,83,SW,14,0,1014.9,0,Mostly Cloudy
2015-11-01 22:51:00,15,12,83,WSW,21,0,1015.24,0,Mostly Cloudy
2015-11-01 23:51:00,14,12,84,WSW,19,0,1015.58,0,Mostly Cloudy
2015-11-02 00:51:00,14,12,84,W,16,0,1015.92,0,Mostly Cloudy
2015-11-02 01:51:00,15,9,69,W,11,0,1015.92,0,Mostly Cloudy
2015-11-02 02:51:00,14,9,72,NW,5,0,1015.92,0,Fair
2015-11-02 03:51:00,12,9,80,SW,10,0,1016.26,0,Cloudy
2015-11-02 04:51:00,12,9,83,W,10,0,1016.59,0,Mostly Cloudy
2015-11-02 05:51:00,12,9,86,WSW,8,0,1016.93,0,Cloudy
2015-11-02 06:51:00,12,9,83,CALM,0,0,1017.61,0,Cloudy
2015-11-02 07:51:00,12,9,83,CALM,0,0,1018.29,0,Cloudy
2015-11-02 08:51:00,14,9,72,NW,8,0,1018.63,0,Mostly Cloudy
2015-11-02 09:51:00,16,8,60,VAR,8,0,1018.63,0,Cloudy
2015-11-02 10:51:00,17,6,48,WNW,11,0,1018.96,0,Cloudy
2015-11-02 11:51:00,17,4,43,NW,5,0,1019.3,0,Cloudy
2015-11-02 12:51:00,18,5,43,WNW,10,0,1018.29,0,Mostly Cloudy
2015-11-02 13:51:00,18,6,43,SW,8,0,1017.95,0,Mostly Cloudy
2015-11-02 14:51:00,18,6,46,WSW,11,0,1017.95,0,Cloudy
2015-11-02 15:51:00,17,7,52,WSW,10,0,1018.29,0,Mostly Cloudy
2015-11-02 16:51:00,16,8,58,SW,11,0,1018.29,0,Mostly Cloudy
2015-11-02 17:51:00,14,8,65,SSW,5,0,1018.29,0,Mostly Cloudy
2015-11-02 18:51:00,14,8,69,SSW,8,0,1018.96,0,Mostly Cloudy
2015-11-02 19:51:00,13,9,75,SSW,10,0,1019.98,0,Cloudy
2015-11-02 20:51:00,12,9,80,SSW,8,0,1019.98,0,Mostly Cloudy
2015-11-02 21:51:00,13,9,77,WSW,10,0,1019.98,0,Mostly Cloudy
2015-11-02 22:51:00,12,9,80,WSW,8,0,1020.32,0,Mostly Cloudy
2015-11-02 23:51:00,12,8,80,W,10,0,1020.32,0,Mostly Cloudy
2015-11-03 00:51:00,13,8,74,W,8,0,1020.32,0,Mostly Cloudy
2015-11-03 01:51:00,11,8,80,CALM,0,0,1019.98,0,Partly Cloudy
2015-11-03 02:51:00,9,7,86,S,5,0,1019.98,0,Partly Cloudy
2015-11-03 03:51:00,9,7,86,CALM,0,0,1020.32,0,Fair
2015-11-03 04:51:00,9,7,89,CALM,0,0,1020.66,0,Fair
2015-11-03 05:51:00,8,6,89,CALM,0,0,1021.0,0,Fair
2015-11-03 06:51:00,9,7,86,NNW,8,0,1021.34,0,Fair
2015-11-03 07:51:00,10,8,86,N,5,0,1022.35,0,Fair
2015-11-03 08:51:00,12,10,86,CALM,0,0,1022.69,0,Fair
2015-11-03 09:51:00,13,9,77,SSW,8,0,1022.35,0,Fair
2015-11-03 10:51:00,16,8,58,WSW,8,0,1022.69,0,Fair
2015-11-03 11:51:00,18,7,48,SW,10,0,1022.35,0,Fair
2015-11-03 12:51:00,20,6,40,SW,11,0,1022.01,0,Fair
2015-11-03 13:51:00,20,8,45,SW,19,0,1021.34,0,Fair
2015-11-03 14:51:00,20,10,52,S,14,0,1021.0,0,Fair
2015-11-03 15:51:00,19,9,52,S,14,0,1021.34,0,Fair
2015-11-03 16:51:00,18,11,63,S,14,0,1021.34,0,Fair
2015-11-03 17:51:00,16,11,75,SSW,10,0,1022.01,0,Fair
2015-11-03 18:51:00,15,11,78,CALM,0,0,1022.69,0,Fair
2015-11-03 19:51:00,15,12,83,CALM,0,0,1023.03,0,Fair
2015-11-03 20:51:00,17,11,70,WSW,11,0,1023.37,0,Fair
2015-11-03 21:51:00,14,10,77,SW,8,0,1023.71,0,Partly Cloudy
2015-11-03 22:51:00,15,9,69,WSW,10,0,1024.04,0,Fair
2015-11-03 23:51:00,13,9,75,SW,8,0,1024.04,0,Fair
2015-11-04 00:51:00,14,9,72,W,8,0,1024.38,0,Fair
2015-11-04 01:51:00,12,8,77,WSW,5,0,1024.72,0,Fair
2015-11-04 02:51:00,12,9,83,CALM,0,0,1025.06,0,Partly Cloudy
2015-11-04 03:51:00,10,7,83,CALM,0,0,1025.74,0,Fair
2015-11-04 04:51:00,11,8,83,NE,5,0,1026.08,0,Fair
2015-11-04 05:51:00,11,8,83,NNW,5,0,1026.75,0,Fair
2015-11-04 06:51:00,13,8,74,NNE,8,0,1027.09,0,Fair
2015-11-04 07:51:00,12,8,77,N,8,0,1027.43,0,Fair
2015-11-04 08:51:00,15,11,75,NNE,8,0,1028.11,0,Fair
2015-11-04 09:51:00,18,9,56,ENE,14,0,1028.45,0,Fair
2015-11-04 10:51:00,19,8,47,E,21,0,1028.45,0,Fair
2015-11-04 11:51:00,19,9,51,E,21,0,1028.79,0,Fair
2015-11-04 12:51:00,20,9,49,E,19,0,1028.45,0,Fair
2015-11-04 13:51:00,21,8,45,ESE,24,0,1027.43,0,Fair
2015-11-04 14:51:00,20,8,45,ESE,21,0,1027.43,0,Fair
2015-11-04 15:51:00,19,8,50,ESE,16,0,1027.43,0,Fair
2015-11-04 16:51:00,18,10,58,ESE,19,0,1027.43,0,Fair
2015-11-04 17:51:00,16,10,67,E,10,0,1027.09,0,Fair
2015-11-04 18:51:00,16,11,75,ESE,11,0,1027.43,0,Partly Cloudy
2015-11-04 19:51:00,14,11,83,E,5,0,1027.43,0,Partly Cloudy
2015-11-04 20:51:00,14,12,87,E,8,0,1027.43,0,Fair
2015-11-04 21:51:00,13,11,89,ENE,10,0,1027.43,0,Fair
2015-11-04 22:51:00,13,12,90,CALM,0,0,1027.09,0,Fair
2015-11-04 23:51:00,13,12,90,CALM,0,0,1026.75,0,Fair
2015-11-05 00:47:00,11,10,94,NE,8,0,1026.75,0,Partly Cloudy
2015-11-05 00:51:00,12,10,89,NE,8,0,1026.75,0,Partly Cloudy
2015-11-05 01:32:00,12,11,94,CALM,0,0,1026.75,0,Fog
2015-11-05 01:51:00,13,12,93,CALM,0,0,1026.41,0,Fog
2015-11-05 02:26:00,13,12,94,CALM,0,0,1026.41,0,Fog
2015-11-05 02:51:00,13,13,97,CALM,0,0,1026.41,0,Fog
2015-11-05 03:51:00,15,14,93,SW,5,0,1026.08,0,Fog
2015-11-05 04:51:00,14,13,93,CALM,0,0,1025.74,0,Fog
2015-11-05 05:51:00,14,13,93,SW,8,0,1025.74,0,Fog
2015-11-05 06:23:00,14,13,94,SW,10,0,1025.74,0,Fog
2015-11-05 06:38:00,14,13,94,SSW,8,0,1025.74,0,Fog
2015-11-05 06:51:00,14,13,93,SSW,5,0,1025.74,0,Fog
2015-11-05 07:40:00,14,13,94,CALM,0,0,1025.74,0,Fog
2015-11-05 07:51:00,14,13,93,CALM,0,0,1026.08,0,Fog
2015-11-05 08:49:00,14,13,94,CALM,0,0,1026.41,0,Mostly Cloudy
2015-11-05 08:51:00,14,13,93,CALM,0,0,1026.41,0,Mostly Cloudy
2015-11-05 08:55:00,14,14,100,CALM,0,0,1026.41,0,Mostly Cloudy
2015-11-05 09:51:00,16,14,90,SW,8,0,1026.08,0,Mostly Cloudy
2015-11-05 10:51:00,17,14,84,WSW,11,0,1026.08,0,Cloudy
2015-11-05 11:51:00,18,15,84,W,10,0,1025.74,0,Light Rain
2015-11-05 12:18:00,18,16,88,SW,8,0,1025.4,0,Cloudy
2015-11-05 12:51:00,18,16,90,CALM,0,0,1024.72,0,Light Rain
2015-11-05 13:51:00,19,18,93,SSE,5,0,1023.71,0,Mostly Cloudy
2015-11-05 14:51:00,20,16,78,S,8,0,1023.03,0,Mostly Cloudy
2015-11-05 15:51:00,19,16,84,SE,8,0,1022.69,0,Mostly Cloudy
2015-11-05 16:14:00,19,16,83,SE,10,0,1022.69,0,Mostly Cloudy
2015-11-05 16:51:00,18,16,87,SE,8,0,1022.35,0,Cloudy
2015-11-05 17:51:00,18,16,90,SE,11,0,1022.01,0,Cloudy
2015-11-05 18:51:00,18,17,93,SSE,8,0,1022.01,0,Cloudy
2015-11-05 19:51:00,18,16,90,SSE,8,0,1022.01,0,Cloudy
2015-11-05 20:48:00,18,16,88,S,10,0,1021.67,0,Cloudy
2015-11-05 20:51:00,18,16,87,S,11,0,1021.67,0,Cloudy
2015-11-05 21:51:00,18,16,90,S,5,0,1021.67,0,Cloudy
2015-11-05 22:25:00,18,16,88,SSE,8,0,1022.01,0,Cloudy
2015-11-05 22:47:00,18,16,88,S,8,0,1022.01,0,Cloudy
2015-11-05 22:51:00,18,16,87,S,5,0,1021.67,0,Cloudy
2015-11-05 23:51:00,17,16,93,S,8,0,1020.66,0,Cloudy
2015-11-06 00:51:00,18,16,90,SSW,10,0,1020.32,0,Cloudy
2015-11-06 01:40:00,17,16,94,SSW,5,0,1019.98,0,Cloudy
2015-11-06 01:51:00,18,16,90,SSW,10,0,1019.98,0,Cloudy
2015-11-06 02:51:00,18,17,93,S,13,0,1019.64,0,Cloudy
2015-11-06 03:08:00,18,17,94,S,10,0,1019.64,0,Cloudy
2015-11-06 03:51:00,18,17,93,S,8,0,1018.96,0,Cloudy
2015-11-06 04:25:00,18,17,94,SSW,8,0,1018.63,0,Fog
2015-11-06 04:39:00,18,17,94,S,11,0,1018.63,0,Fog
2015-11-06 04:51:00,18,17,93,S,10,0,1018.63,0,Fog
2015-11-06 05:51:00,18,17,93,S,10,0,1018.29,0,Fog
2015-11-06 06:51:00,17,16,93,S,11,0,1017.95,0,Fog
2015-11-06 07:51:00,17,16,93,SSW,8,0,1017.95,0,Fog
2015-11-06 08:23:00,18,17,94,S,11,0,1017.61,0,Fog
2015-11-06 08:44:00,17,17,100,S,11,0,1017.61,0,Fog
2015-11-06 08:51:00,18,17,93,S,10,0,1017.61,0,Fog
2015-11-06 09:51:00,18,17,93,S,19,0,1016.59,0,Fog
2015-11-06 10:51:00,19,17,90,S,16,0,1016.26,0,Fog
2015-11-06 11:51:00,19,17,87,S,21,0,1015.58,0,Fog
2015-11-06 12:10:00,19,17,88,S,19,0,1015.24,0,Mostly Cloudy
2015-11-06 12:51:00,22,17,73,S,21,0,1014.22,0,Mostly Cloudy
2015-11-06 13:51:00,19,16,81,SSW,19,0,1013.21,0,Mostly Cloudy
2015-11-06 14:37:00,22,17,73,SSW,14,0,1011.51,0,Mostly Cloudy
2015-11-06 14:51:00,23,17,68,SW,23,0,1011.18,0,Mostly Cloudy
