DateTime,Temperature (°C),Dew Point (°C),Humidity (%),Wind,Wind Speed (km/h),Wind Gust (km/h),Pressure (hPa),Precip. (mm),Condition
2010-09-30 23:51:00,23,21,85,SSE,45,58,1004.74,0,Mostly Cloudy / Windy
2010-10-01 00:51:00,23,21,85,SSE,35,51,1004.06,0,Cloudy / Windy
2010-10-01 01:51:00,23,21,87,SSE,35,51,1003.39,0,Cloudy / Windy
2010-10-01 02:51:00,23,21,85,SSE,35,50,1002.03,0,Cloudy / Windy
2010-10-01 03:51:00,23,21,85,SSE,42,56,1000.68,0,Cloudy / Windy
2010-10-01 04:51:00,23,21,85,SSE,48,64,998.99,0,Cloudy / Windy
2010-10-01 05:41:00,23,21,88,SSE,50,71,999.66,0,Cloudy / Windy
2010-10-01 05:51:00,23,21,87,S,42,60,1000.68,0,Cloudy / Windy
2010-10-01 06:01:00,20,18,88,W,29,48,1000.68,3,Cloudy
2010-10-01 06:19:00,19,17,88,VAR,5,47,1001.02,13,Cloudy
2010-10-01 06:37:00,19,17,88,N,14,35,1001.02,23,Cloudy
2010-10-01 06:51:00,19,17,88,NNE,24,35,1001.02,0,Cloudy
2010-10-01 07:02:00,19,17,88,NNE,19,34,1000.68,3,Cloudy
2010-10-01 07:30:00,19,17,88,NE,27,0,1000.68,13,Cloudy
2010-10-01 07:51:00,19,17,90,NE,32,0,1000.68,13,Cloudy
2010-10-01 08:34:00,19,17,88,NE,26,0,1000.34,5,Cloudy
2010-10-01 08:51:00,19,17,90,NE,21,0,1000.34,5,Cloudy
2010-10-01 09:06:00,19,18,94,N,23,0,1000.68,0,Cloudy
2010-10-01 09:17:00,19,18,94,NNW,21,0,1000.68,0,Cloudy
2010-10-01 09:25:00,19,18,94,NW,24,39,1000.68,0,Cloudy
2010-10-01 09:51:00,18,17,90,NNW,35,42,1000.0,3,Cloudy / Windy
2010-10-01 10:10:00,17,16,94,N,35,47,1000.34,0,Cloudy / Windy
2010-10-01 10:51:00,17,16,90,NNW,13,35,1000.68,0,Cloudy
2010-10-01 11:10:00,17,16,94,N,27,35,1001.36,0,Cloudy
2010-10-01 11:33:00,17,15,88,NNW,23,35,1002.03,0,Cloudy
